,Date,retweet count,favorite count,key hashtag count,keyword count,Close
0,2018-07-27,13,16,0,0,44.5099983215332
1,2018-07-30,37,106,3,0,44.40999984741211
2,2018-07-31,125,180,0,0,45.09000015258789
3,2018-08-01,17,82,0,0,44.529998779296875
4,2018-08-02,16,46,1,0,43.77000045776367
5,2018-08-03,30,58,3,0,43.970001220703125
6,2018-08-06,64,96,2,1,44.130001068115234
7,2018-08-07,15,79,1,0,44.720001220703125
8,2018-08-08,30,29,0,0,44.630001068115234
9,2018-08-09,29,35,1,1,43.529998779296875
10,2018-08-10,48,128,2,0,42.9900016784668
11,2018-08-13,16,37,0,1,42.68000030517578
12,2018-08-14,31,68,2,1,42.61000061035156
13,2018-08-15,27,55,1,0,41.529998779296875
14,2018-08-16,12,61,1,1,41.720001220703125
15,2018-08-17,52,98,1,0,41.90999984741211
16,2018-08-20,31,55,2,0,42.380001068115234
17,2018-08-21,49,55,1,1,42.459999084472656
18,2018-08-22,21,35,3,0,42.97999954223633
19,2018-08-23,17,36,1,0,42.939998626708984
20,2018-08-24,37,40,4,0,43.41999816894531
21,2018-08-27,21,46,2,0,43.869998931884766
22,2018-08-28,14,37,0,0,43.2599983215332
23,2018-08-29,15,23,2,0,43.38999938964844
24,2018-08-30,22,17,0,0,43.58000183105469
25,2018-08-31,21,35,2,0,42.880001068115234
26,2018-09-04,77,109,0,0,42.720001220703125
27,2018-09-05,32,34,1,0,42.779998779296875
28,2018-09-06,14,23,2,0,42.209999084472656
29,2018-09-07,10,27,2,0,42.029998779296875
30,2018-09-10,16,45,1,0,42.09000015258789
31,2018-09-11,35,55,3,0,42.650001525878906
32,2018-09-12,3,5,0,0,43.11000061035156
33,2018-09-13,22,33,1,0,43.41999816894531
34,2018-09-14,20,63,2,0,43.2599983215332
35,2018-09-17,15,10,1,0,43.2400016784668
36,2018-09-18,68,25,1,1,43.560001373291016
37,2018-09-19,39,30,1,3,43.97999954223633
38,2018-09-20,33,21,0,4,44.56999969482422
39,2018-09-21,96,44,3,0,44.66999816894531
40,2018-09-24,47,55,7,2,45.220001220703125
41,2018-09-25,154,79,4,0,46.31999969482422
42,2018-09-26,24,14,2,2,46.2599983215332
43,2018-09-27,29,31,0,0,46.869998931884766
44,2018-09-28,36,13,3,0,46.099998474121094
45,2018-10-01,53,44,0,2,46.77000045776367
46,2018-10-02,61,18,0,6,46.810001373291016
47,2018-10-03,25,49,1,0,46.9900016784668
48,2018-10-04,27,17,0,0,46.77000045776367
49,2018-10-05,15,42,3,0,46.5
50,2018-10-08,137,21,0,0,45.810001373291016
51,2018-10-09,370,44,3,0,46.0099983215332
52,2018-10-10,25,8,1,1,45.150001525878906
53,2018-10-11,69,19,4,3,44.130001068115234
54,2018-10-12,45,27,3,0,44.54999923706055
55,2018-10-15,133,42,3,2,44.5
56,2018-10-16,69,29,1,0,44.70000076293945
57,2018-10-17,20,39,0,1,44.349998474121094
58,2018-10-18,56,53,0,5,43.86000061035156
59,2018-10-19,27,42,3,0,44.0
60,2018-10-22,109,28,0,1,43.13999938964844
61,2018-10-23,12,30,1,0,42.29999923706055
62,2018-10-24,17,4,3,0,40.9900016784668
63,2018-10-25,12,25,3,0,41.59000015258789
64,2018-10-26,3,12,0,0,41.099998474121094
65,2018-10-29,80,34,0,0,41.029998779296875
66,2018-10-30,96,131,0,0,42.209999084472656
67,2018-10-31,44,8,1,2,43.369998931884766
68,2018-11-01,17,0,1,1,42.650001525878906
69,2018-11-02,64,33,2,3,41.599998474121094
70,2018-11-05,47,45,1,1,42.61000061035156
71,2018-11-06,22,9,2,0,42.65999984741211
72,2018-11-07,26,7,2,0,43.11000061035156
73,2018-11-08,15,22,0,2,41.27000045776367
74,2018-11-09,7,0,0,1,41.2400016784668
75,2018-11-12,89,25,1,2,40.869998931884766
76,2018-11-13,25,5,1,2,39.810001373291016
77,2018-11-14,11,22,0,1,40.33000183105469
78,2018-11-15,19,15,0,0,41.15999984741211
79,2018-11-16,17,34,1,1,40.84000015258789
80,2018-11-19,23,51,4,0,40.91999816894531
81,2018-11-20,93,230,1,0,40.099998474121094
82,2018-11-21,11,10,0,0,41.27000045776367
83,2018-11-23,210,411,1,1,39.88999938964844
84,2018-11-26,6,34,0,1,40.529998779296875
85,2018-11-27,47,14,0,0,40.31999969482422
86,2018-11-28,27,57,2,1,40.84000015258789
87,2018-11-29,43,135,4,3,40.47999954223633
88,2018-11-30,14,5,2,0,40.349998474121094
89,2018-12-03,304,67,0,1,41.189998626708984
90,2018-12-04,14,12,0,0,40.95000076293945
91,2018-12-06,9,37,0,0,39.59000015258789
92,2018-12-07,11,23,0,0,39.5099983215332
93,2018-12-10,17,16,0,0,39.369998931884766
94,2018-12-11,16,36,3,0,39.08000183105469
95,2018-12-12,20,7,1,4,39.04999923706055
96,2018-12-13,20,44,0,2,39.290000915527344
97,2018-12-14,6,2,1,0,38.65999984741211
98,2018-12-17,10,38,0,2,38.40999984741211
99,2018-12-18,11,28,5,1,37.81999969482422
100,2018-12-19,11,32,0,1,37.650001525878906
101,2018-12-20,181,40,0,1,37.2599983215332
102,2018-12-21,124,820,0,2,37.66999816894531
103,2018-12-24,29,109,0,0,36.650001525878906
104,2018-12-26,2,3,0,0,38.060001373291016
105,2018-12-27,6,22,0,0,37.72999954223633
106,2018-12-28,0,0,0,0,38.130001068115234
107,2018-12-31,2,6,0,1,37.91999816894531
108,2019-01-02,13,25,0,0,38.59000015258789
109,2019-01-03,9,28,1,0,38.810001373291016
110,2019-01-04,10,0,0,0,40.029998779296875
111,2019-01-07,5,16,2,0,40.15999984741211
112,2019-01-08,24,26,0,2,40.029998779296875
113,2019-01-09,17,34,0,1,40.36000061035156
114,2019-01-10,23,43,1,0,40.70000076293945
115,2019-01-11,4,11,3,0,40.2400016784668
116,2019-01-14,24,0,0,0,40.41999816894531
117,2019-01-15,10,25,1,0,40.2400016784668
118,2019-01-16,2,11,0,0,40.119998931884766
119,2019-01-17,14,9,0,0,40.130001068115234
120,2019-01-18,4,16,0,0,40.7599983215332
121,2019-01-22,67,495,0,9,40.08000183105469
122,2019-01-23,39,346,0,10,40.119998931884766
123,2019-01-24,20,24,0,0,40.11000061035156
124,2019-01-25,16,115,0,1,40.11000061035156
125,2019-01-28,13,31,0,10,39.56999969482422
126,2019-01-29,21,24,2,11,40.20000076293945
127,2019-01-30,7,16,1,2,40.66999816894531
128,2019-01-31,4,19,1,0,41.119998931884766
129,2019-02-01,31,84,2,0,41.34000015258789
130,2019-02-04,52,82,1,4,41.38999938964844
131,2019-02-05,66,131,0,1,42.81999969482422
132,2019-02-06,83,631,1,5,43.040000915527344
133,2019-02-07,5,21,0,1,42.70000076293945
134,2019-02-08,26,54,2,6,42.4900016784668
135,2019-02-11,46,12,1,1,42.209999084472656
136,2019-02-12,28,71,0,0,42.41999816894531
137,2019-02-13,22,50,0,0,42.63999938964844
138,2019-02-14,99,273,4,4,41.869998931884766
139,2019-02-15,41,89,0,4,42.290000915527344
140,2019-02-19,8,20,0,2,42.380001068115234
141,2019-02-20,25,27,1,1,42.47999954223633
142,2019-02-21,8,20,1,2,42.290000915527344
143,2019-02-22,25,179,1,4,42.459999084472656
144,2019-02-25,6,16,0,0,42.5099983215332
145,2019-02-26,30,13,2,3,42.52000045776367
146,2019-02-27,16,32,1,1,42.84000015258789
147,2019-02-28,5,21,0,1,42.650001525878906
148,2019-03-01,8,38,1,0,42.58000183105469
149,2019-03-04,17,27,0,0,42.63999938964844
150,2019-03-05,12,20,1,4,42.7400016784668
151,2019-03-06,17,41,0,14,42.70000076293945
152,2019-03-07,4,23,0,1,42.630001068115234
153,2019-03-08,24,33,0,7,42.25
154,2019-03-11,30,17,1,1,42.33000183105469
155,2019-03-12,34,10,2,2,42.459999084472656
156,2019-03-13,99,30,5,2,43.83000183105469
157,2019-03-14,0,0,0,0,43.95000076293945
158,2019-03-15,8,22,0,0,43.869998931884766
159,2019-03-18,9,27,0,0,44.2400016784668
160,2019-03-19,19,23,0,1,44.470001220703125
161,2019-03-20,50,415,0,0,44.529998779296875
162,2019-03-21,18,16,0,1,44.529998779296875
163,2019-03-22,20,17,0,2,43.95000076293945
164,2019-03-25,41,34,1,2,43.529998779296875
165,2019-03-26,60,81,2,1,43.81999969482422
166,2019-03-27,59,16,1,3,43.59000015258789
167,2019-03-28,34,1,0,3,43.630001068115234
168,2019-03-29,32,88,0,0,43.720001220703125
169,2019-04-01,10,29,0,0,44.09000015258789
170,2019-04-02,8,17,1,0,44.22999954223633
171,2019-04-03,23,21,1,1,44.22999954223633
172,2019-04-04,8,25,0,0,44.150001525878906
173,2019-04-05,39,33,3,1,44.529998779296875
174,2019-04-08,9,30,1,2,45.22999954223633
175,2019-04-09,16,20,2,0,44.9900016784668
176,2019-04-10,14,51,0,1,45.040000915527344
177,2019-04-11,78,334,1,6,44.869998931884766
178,2019-04-12,6,12,1,5,44.66999816894531
179,2019-04-15,20,20,0,5,44.66999816894531
180,2019-04-16,14,36,0,2,44.47999954223633
181,2019-04-17,22,15,1,0,44.619998931884766
182,2019-04-18,22,44,0,0,44.38999938964844
183,2019-04-22,4,14,1,0,45.040000915527344
184,2019-04-23,6,12,2,1,45.02000045776367
185,2019-04-24,14,42,0,0,44.130001068115234
186,2019-04-25,9,34,0,1,43.959999084472656
187,2019-04-26,7,0,0,0,43.310001373291016
188,2019-04-29,17,0,1,0,43.02000045776367
189,2019-04-30,56,65,1,0,43.72999954223633
190,2019-05-01,14,52,0,4,43.08000183105469
191,2019-05-02,7,11,0,0,42.630001068115234
192,2019-05-03,28,74,4,2,43.08000183105469
193,2019-05-06,23,17,2,1,42.93000030517578
194,2019-05-07,11,29,0,0,42.220001220703125
195,2019-05-08,65,83,3,2,42.279998779296875
196,2019-05-09,13,5,0,0,41.650001525878906
197,2019-05-10,17,35,0,0,41.5
198,2019-05-13,10,0,0,1,41.22999954223633
199,2019-05-14,32,81,0,2,41.54999923706055
200,2019-05-15,34,60,0,0,41.77000045776367
201,2019-05-16,8,0,0,2,42.279998779296875
202,2019-05-17,12,42,0,1,42.34000015258789
203,2019-05-20,13,14,0,1,42.58000183105469
204,2019-05-21,30,60,0,2,42.75
205,2019-05-22,16,40,1,7,42.34000015258789
206,2019-05-23,5,35,0,2,41.34000015258789
207,2019-05-24,19,53,1,4,41.7599983215332
208,2019-05-28,3,28,1,0,41.47999954223633
209,2019-05-29,24,37,1,5,41.27000045776367
210,2019-05-30,104,67,0,0,41.029998779296875
211,2019-05-31,9,28,0,0,40.720001220703125
212,2019-06-03,9,119,0,2,41.040000915527344
213,2019-06-04,13,9,0,2,41.36000061035156
